Full Name,Email,Mobile,City,State,Lead Status,Source,Lead Date
Sunita Gupta,lead170@example.com,9645752183.0,Hyderabad,Karnataka,New,Referral,15/03/2026
Deepak Joshi,lead236@example.com,9418861771.0,Delhi,Kerala,Follow Up,Google Ads,26-03-2026
Rahul Sharma,lead176@example.com,9348567880.0,Bengaluru,Telangana,Lost,Social Media,2025-09-04
Deepak Joshi,lead408@example.com,9118943891.0,Kochi,Maharashtra,,Referral,2026/05/13
Deepak Reddy,lead986@example.com,9234310872.0,,Telangana,Follow Up,Google Ads,14-05-2025
Sanjay Reddy,lead879@example.com,9506367786.0,Kochi,Telangana,New,Social Media,2025/08/12
Anjali Joshi,lead27@example.com,9594669925.0,Bengaluru,Maharashtra,Qualified,Referral,06/10/2025
Megha Das,lead334@example.com,9269099342.0,Delhi,Kerala,,Referral,2025/06/06
Neha Gupta,,,Hyderabad,Telangana,Lost,Google Ads,2026-05-22
Vikram Reddy,lead172@example.com,9905122578.0,Delhi,Karnataka,Follow Up,Google Ads,2026-06-05
Deepak Joshi,lead350@example.com,,Pune,Kerala,,Website,2026/02/25
Vikram Das,lead966@example.com,9723087487.0,Kochi,Kerala,New,Google Ads,2025/02/07
Megha Gupta,lead216@example.com,9169317760.0,Hyderabad,Karnataka,Follow Up,Referral,2025/12/13
Anjali Das,lead466@example.com,9055687218.0,Hyderabad,Telangana,New,Website,2026-04-23
Rahul Verma,lead351@example.com,9706917995.0,Mumbai,Maharashtra,,Google Ads,2025-04-10
Deepak Joshi,lead295@example.com,9204346894.0,Delhi,Karnataka,,Referral,2025-02-26
Anjali Joshi,lead1073@example.com,9020726861.0,Delhi,Kerala,Lost,Website,21/04/2026
Vikram Patel,lead368@example.com,9574487975.0,,Delhi,,Referral,05/01/2025
Megha Das,lead398@example.com,9725895247.0,,Karnataka,Follow Up,Social Media,04-11-2025
Priya Gupta,lead916@example.com,9352607373.0,Pune,Karnataka,New,Social Media,2025/09/16
Neha Kumar,lead633@example.com,9692452689.0,Kochi,Kerala,,Google Ads,30-08-2025
